date_SC,trial,channel,degree_min,temp_pulled,discolor_3day,est_scp,eclose,temp_pulled_grouped,uid,trial_id,degree_min_continuous
2/21/2019,a,10,0.1,-14,1,NA,0,-14,264,2019-02-21a,0.1
2/21/2019,a,11,0.1,-2,1,NA,0,-2,265,2019-02-21a,0.1
2/21/2019,a,13,0.1,-18,0,NA,0,-18,266,2019-02-21a,0.1
2/21/2019,a,14,0.1,-8,0,NA,0,-8,267,2019-02-21a,0.1
2/21/2019,a,15,0.1,0,0,NA,0,0,268,2019-02-21a,0.1
2/21/2019,a,control,0.1,NA,1,NA,1,NA,269,2019-02-21a,0.1
2/21/2019,a,control,0.1,NA,0,NA,1,NA,270,2019-02-21a,0.1
2/21/2019,f,3,1,-32,1,-24.9,0,-32,271,2019-02-21f,1
2/21/2019,f,4,1,-24,1,-23.7,0,-24,272,2019-02-21f,1
2/21/2019,f,5,1,-30,1,-24.9,0,-30,273,2019-02-21f,1
2/21/2019,f,7,1,-34,1,-26,0,-32,274,2019-02-21f,1
2/21/2019,f,9,1,-36,1,-24.9,0,-32,275,2019-02-21f,1
2/21/2019,f,10,1,-26,1,-24.2,0,-26,276,2019-02-21f,1
2/21/2019,f,11,1,-38,1,-24.1,0,-32,277,2019-02-21f,1
2/21/2019,f,13,1,-22,1,NA,0,-22,278,2019-02-21f,1
2/21/2019,f,14,1,-38,1,-25.3,0,-32,279,2019-02-21f,1
2/21/2019,f,15,1,-28,1,-24.8,0,-28,280,2019-02-21f,1
2/21/2019,f,control,1,NA,1,NA,1,NA,281,2019-02-21f,1
2/21/2019,f,control,1,NA,1,NA,0,NA,282,2019-02-21f,1
2/21/2019,f,control,1,NA,1,NA,0,NA,283,2019-02-21f,1
2/22/2019,b,3,0.1,-37,0,-25.3,0,-32,284,2019-02-22b,0.1
2/22/2019,b,4,0.1,-37,1,-25.4,0,-32,285,2019-02-22b,0.1
2/22/2019,b,5,0.1,-28,1,-23,0,-28,286,2019-02-22b,0.1
2/22/2019,b,7,0.1,-22,1,NA,1,-22,287,2019-02-22b,0.1
